Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
portfolio,,,,2021-12-21 10:20:35,2021-12-21 10:29:41,9m - 5.133s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/001 - Summary,,,,2021-12-21 10:20:36,2021-12-21 10:21:41,1m - 4.765s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-21 10:20:36,2021-12-21 10:20:55,18.564s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""summary"", ""action"":""summary""], CONTINUE_ON_FAILURE)",,,,2021-12-21 10:20:55,2021-12-21 10:21:30,35.200s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-21 10:21:30,2021-12-21 10:21:41,10.689s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/002 - Portfolio Performance Daily,,,,2021-12-21 10:21:41,2021-12-21 10:22:44,1m - 3.440s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-21 10:21:41,2021-12-21 10:21:55,13.397s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""summary"", ""action"":""perf_daily""], CONTINUE_ON_FAILURE)",,,,2021-12-21 10:21:55,2021-12-21 10:22:34,39.292s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-21 10:22:34,2021-12-21 10:22:44,10.491s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/003 - Portfolio Performance Month,,,,2021-12-21 10:22:44,2021-12-21 10:23:48,1m - 3.404s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-21 10:22:45,2021-12-21 10:22:58,13.562s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""summary"", ""action"":""perf_month""], CONTINUE_ON_FAILURE)",,,,2021-12-21 10:22:58,2021-12-21 10:23:37,39.188s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-21 10:23:37,2021-12-21 10:23:48,10.398s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/004 - Portfolio Performance Quarter,,,,2021-12-21 10:23:48,2021-12-21 10:24:49,1m - 1.076s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-21 10:23:48,2021-12-21 10:24:00,12.117s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""summary"", ""action"":""perf_quarter""], CONTINUE_ON_FAILURE)",,,,2021-12-21 10:24:00,2021-12-21 10:24:39,38.513s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-21 10:24:39,2021-12-21 10:24:49,10.223s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/005 - Portfolio Performance Year,,,,2021-12-21 10:24:49,2021-12-21 10:25:50,1m - 1.386s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-21 10:24:49,2021-12-21 10:25:01,11.798s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""summary"", ""action"":""perf_year""], CONTINUE_ON_FAILURE)",,,,2021-12-21 10:25:01,2021-12-21 10:25:40,39.081s,PASSED
