Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
portfolio,,,,2022-01-11 09:16:34,2022-01-11 09:37:22,20m - 48.052s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/001 - Summary,,,,2022-01-11 09:16:34,2022-01-11 09:17:48,1m - 13.299s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:16:35,2022-01-11 09:16:54,18.896s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""summary"", ""action"":""summary""], CONTINUE_ON_FAILURE)",,,,2022-01-11 09:16:54,2022-01-11 09:17:37,43.390s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:17:37,2022-01-11 09:17:48,10.647s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/002 - Portfolio Performance Daily IDR,,,,2022-01-11 09:17:48,2022-01-11 09:18:53,1m - 5.617s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:17:48,2022-01-11 09:18:02,13.836s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""summary"", ""action"":""perf_daily"", ""action2"":""idr""], CONTINUE_ON_FAILURE)",,,,2022-01-11 09:18:02,2022-01-11 09:18:43,40.789s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:18:43,2022-01-11 09:18:53,10.775s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/003 - Portfolio Performance Month to Date IDR,,,,2022-01-11 09:18:53,2022-01-11 09:19:59,1m - 5.926s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:18:54,2022-01-11 09:19:08,14.731s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""summary"", ""action"":""perf_month"", ""action2"":""idr""], CONTINUE_ON_FAILURE)",,,,2022-01-11 09:19:08,2022-01-11 09:19:49,40.542s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:19:49,2022-01-11 09:19:59,10.414s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/004 - Portfolio Performance Quarter to Date IDR,,,,2022-01-11 09:19:59,2022-01-11 09:21:04,1m - 4.305s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:20:00,2022-01-11 09:20:13,13.534s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""summary"", ""action"":""perf_quarter"", ""action2"":""idr""], CONTINUE_ON_FAILURE)",,,,2022-01-11 09:20:13,2022-01-11 09:20:53,40.183s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:20:53,2022-01-11 09:21:04,10.346s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/005 - Portfolio Performance Year to Date IDR,,,,2022-01-11 09:21:04,2022-01-11 09:22:08,1m - 3.931s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:21:04,2022-01-11 09:21:17,13.414s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""summary"", ""action"":""perf_year"", ""action2"":""idr""], CONTINUE_ON_FAILURE)",,,,2022-01-11 09:21:17,2022-01-11 09:21:57,39.866s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:21:57,2022-01-11 09:22:08,10.432s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/006 - Portfolio Performance Daily Persen,,,,2022-01-11 09:22:08,2022-01-11 09:23:09,1m - 1.684s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:22:08,2022-01-11 09:22:21,13.553s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""summary"", ""action"":""perf_daily"", ""action2"":""persen""], CONTINUE_ON_FAILURE)",,,,2022-01-11 09:22:21,2022-01-11 09:22:59,37.411s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:22:59,2022-01-11 09:23:09,10.484s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/007 - Portfolio Performance Month to Date Persen,,,,2022-01-11 09:23:09,2022-01-11 09:24:13,1m - 3.711s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:23:09,2022-01-11 09:23:23,13.595s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""summary"", ""action"":""perf_month"", ""action2"":""persen""], CONTINUE_ON_FAILURE)",,,,2022-01-11 09:23:23,2022-01-11 09:24:02,39.392s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:24:02,2022-01-11 09:24:13,10.480s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/008 - Portfolio Performance Quarter to Date Persen,,,,2022-01-11 09:24:13,2022-01-11 09:25:18,1m - 5.255s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:24:13,2022-01-11 09:24:27,13.554s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""summary"", ""action"":""perf_quarter"", ""action2"":""persen""], CONTINUE_ON_FAILURE)",,,,2022-01-11 09:24:27,2022-01-11 09:25:08,41.101s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:25:08,2022-01-11 09:25:18,10.377s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/009 - Portfolio Performance Year to Date Persen,,,,2022-01-11 09:25:18,2022-01-11 09:26:26,1m - 7.627s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:25:18,2022-01-11 09:25:32,13.575s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""summary"", ""action"":""perf_year"", ""action2"":""persen""], CONTINUE_ON_FAILURE)",,,,2022-01-11 09:25:32,2022-01-11 09:26:15,43.358s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:26:15,2022-01-11 09:26:26,10.453s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/010 - Melihat list stock,,,,2022-01-11 09:26:26,2022-01-11 09:27:25,59.338s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:26:26,2022-01-11 09:26:41,15.029s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""stock""], CONTINUE_ON_FAILURE)",,,,2022-01-11 09:26:41,2022-01-11 09:27:15,33.682s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:27:15,2022-01-11 09:27:25,10.407s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/011 - Melihat list mutual fund,,,,2022-01-11 09:27:25,2022-01-11 09:28:29,1m - 3.930s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:27:25,2022-01-11 09:27:39,13.480s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""mutualfund"", ""action2"":""none""], CONTINUE_ON_FAILURE)",,,,2022-01-11 09:27:39,2022-01-11 09:28:19,39.825s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:28:19,2022-01-11 09:28:29,10.404s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/012 - Melihat list bond,,,,2022-01-11 09:28:29,2022-01-11 09:29:26,56.733s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:28:29,2022-01-11 09:28:43,13.575s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""stock"", ""action"":""none""], CONTINUE_ON_FAILURE)",,,,2022-01-11 09:28:43,2022-01-11 09:29:15,32.490s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:29:15,2022-01-11 09:29:26,10.400s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/013 - Melihat detail mutual fund 1 month,,,,2022-01-11 09:29:26,2022-01-11 09:30:33,1m - 6.700s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:29:26,2022-01-11 09:29:39,13.433s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""mutualfund"", ""action2"":""1 month""], CONTINUE_ON_FAILURE)",,,,2022-01-11 09:29:39,2022-01-11 09:30:22,42.503s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:30:22,2022-01-11 09:30:33,10.549s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/014 - Melihat detail mutual fund 3 month,,,,2022-01-11 09:30:33,2022-01-11 09:31:39,1m - 6.540s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:30:33,2022-01-11 09:30:47,13.776s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""mutualfund"", ""action2"":""3 month""], CONTINUE_ON_FAILURE)",,,,2022-01-11 09:30:47,2022-01-11 09:31:29,42.177s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:31:29,2022-01-11 09:31:39,10.352s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/015 - Melihat detail mutual fund 6 month,,,,2022-01-11 09:31:39,2022-01-11 09:32:50,1m - 10.637s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:31:39,2022-01-11 09:31:53,13.994s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""mutualfund"", ""action2"":""6 month""], CONTINUE_ON_FAILURE)",,,,2022-01-11 09:31:53,2022-01-11 09:32:39,46.003s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-01-11 09:32:39,2022-01-11 09:32:50,10.368s,PASSED
,,,,,,,
