Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
portfolio,,,,2021-12-06 08:37:53,2021-12-06 08:46:26,8m - 32.939s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/001 - Summary,,,,2021-12-06 08:37:53,2021-12-06 08:38:52,58.255s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:37:54,2021-12-06 08:38:10,16.426s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""summary"", ""action"":""summary""], CONTINUE_ON_FAILURE)",,,,2021-12-06 08:38:10,2021-12-06 08:38:41,30.873s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:38:41,2021-12-06 08:38:52,10.635s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/002 - Portfolio Performance Daily,,,,2021-12-06 08:38:52,2021-12-06 08:39:52,1m - 0.273s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:38:52,2021-12-06 08:39:05,13.018s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""summary"", ""action"":""perf_daily""], CONTINUE_ON_FAILURE)",,,,2021-12-06 08:39:05,2021-12-06 08:39:42,36.663s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:39:42,2021-12-06 08:39:52,10.336s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/003 - Portfolio Performance Month,,,,2021-12-06 08:39:52,2021-12-06 08:40:51,59.479s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:39:52,2021-12-06 08:40:04,11.915s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""summary"", ""action"":""perf_month""], CONTINUE_ON_FAILURE)",,,,2021-12-06 08:40:04,2021-12-06 08:40:41,37.143s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:40:41,2021-12-06 08:40:51,10.172s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/004 - Portfolio Performance Quarter,,,,2021-12-06 08:40:51,2021-12-06 08:41:50,59.012s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:40:52,2021-12-06 08:41:03,11.764s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""summary"", ""action"":""perf_quarter""], CONTINUE_ON_FAILURE)",,,,2021-12-06 08:41:03,2021-12-06 08:41:40,36.705s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:41:40,2021-12-06 08:41:50,10.300s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/005 - Portfolio Performance Year,,,,2021-12-06 08:41:51,2021-12-06 08:42:49,58.285s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:41:51,2021-12-06 08:42:03,11.797s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""summary"", ""action"":""perf_year""], CONTINUE_ON_FAILURE)",,,,2021-12-06 08:42:03,2021-12-06 08:42:39,35.946s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:42:39,2021-12-06 08:42:49,10.282s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/006 - Portfolio Stock,,,,2021-12-06 08:42:49,2021-12-06 08:43:43,54.603s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:42:49,2021-12-06 08:43:01,11.722s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""stock"", ""action"":""none""], CONTINUE_ON_FAILURE)",,,,2021-12-06 08:43:01,2021-12-06 08:43:33,32.339s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:43:33,2021-12-06 08:43:43,10.297s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/007 - Portfolio Mutual Fund,,,,2021-12-06 08:43:43,2021-12-06 08:45:31,1m - 47.377s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:43:44,2021-12-06 08:43:55,11.732s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""mutualfund"", ""action"":""none""], STOP_ON_FAILURE)",,,,2021-12-06 08:43:55,2021-12-06 08:45:21,1m - 25.234s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:45:21,2021-12-06 08:45:31,10.185s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Portfolio/008 - Portfolio Bond,,,,2021-12-06 08:45:31,2021-12-06 08:46:26,54.885s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:45:31,2021-12-06 08:45:43,11.626s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Portfolio/Portfolio""), [""tab"":""bond"", ""action"":""none""], CONTINUE_ON_FAILURE)",,,,2021-12-06 08:45:43,2021-12-06 08:46:15,32.681s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:46:15,2021-12-06 08:46:26,10.334s,PASSED
