Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
news,,,,2022-01-19 10:57:02,2022-01-19 11:02:28,5m - 26.022s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/News/001 - News World Indices,,,,2022-01-19 10:57:03,2022-01-19 10:58:32,1m - 29.248s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-01-19 10:57:03,2022-01-19 10:57:21,17.895s,PASSED
"callTestCase(findTestCase(""Mobile/Page/News/News""), [""tab"":""worldindices""], CONTINUE_ON_FAILURE)",,,,2022-01-19 10:57:21,2022-01-19 10:58:21,1m - 0.370s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-01-19 10:58:21,2022-01-19 10:58:32,10.644s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/News/002 - News Stock,,,,2022-01-19 10:58:32,2022-01-19 10:59:32,1m - 0.596s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-01-19 10:58:32,2022-01-19 10:58:44,12.427s,PASSED
"callTestCase(findTestCase(""Mobile/Page/News/News""), [""tab"":""stocknews""], CONTINUE_ON_FAILURE)",,,,2022-01-19 10:58:44,2022-01-19 10:59:22,37.639s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-01-19 10:59:22,2022-01-19 10:59:32,10.259s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/News/003 - News Fund,,,,2022-01-19 10:59:32,2022-01-19 11:00:31,58.520s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-01-19 10:59:33,2022-01-19 10:59:45,12.123s,PASSED
"callTestCase(findTestCase(""Mobile/Page/News/News""), [""tab"":""fundnews""], CONTINUE_ON_FAILURE)",,,,2022-01-19 10:59:45,2022-01-19 11:00:21,35.979s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-01-19 11:00:21,2022-01-19 11:00:31,10.198s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/News/004 - Bond News,,,,2022-01-19 11:00:31,2022-01-19 11:01:30,59.447s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-01-19 11:00:31,2022-01-19 11:00:43,11.947s,PASSED
"callTestCase(findTestCase(""Mobile/Page/News/News""), [""tab"":""bondnews""], CONTINUE_ON_FAILURE)",,,,2022-01-19 11:00:43,2022-01-19 11:01:20,37.084s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-01-19 11:01:20,2022-01-19 11:01:30,10.195s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/News/005 - Macro News,,,,2022-01-19 11:01:30,2022-01-19 11:02:28,57.452s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-01-19 11:01:31,2022-01-19 11:01:42,11.861s,PASSED
"callTestCase(findTestCase(""Mobile/Page/News/News""), [""tab"":""macronews""], CONTINUE_ON_FAILURE)",,,,2022-01-19 11:01:42,2022-01-19 11:02:18,35.153s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-01-19 11:02:18,2022-01-19 11:02:28,10.212s,PASSED
