Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
news,,,,2021-12-15 10:49:07,2021-12-15 10:54:21,5m - 13.815s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/News/001 - News World Indices,,,,2021-12-15 10:49:08,2021-12-15 10:50:20,1m - 12.442s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-15 10:49:08,2021-12-15 10:49:24,15.822s,PASSED
"callTestCase(findTestCase(""Mobile/Page/News/News""), [""tab"":""worldindices""], CONTINUE_ON_FAILURE)",,,,2021-12-15 10:49:24,2021-12-15 10:50:10,45.781s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-15 10:50:10,2021-12-15 10:50:20,10.519s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/News/002 - News Stock,,,,2021-12-15 10:50:20,2021-12-15 10:51:19,59.116s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-15 10:50:20,2021-12-15 10:50:32,11.661s,PASSED
"callTestCase(findTestCase(""Mobile/Page/News/News""), [""tab"":""stocknews""], CONTINUE_ON_FAILURE)",,,,2021-12-15 10:50:32,2021-12-15 10:51:09,37.044s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-15 10:51:09,2021-12-15 10:51:19,10.173s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/News/003 - News Fund,,,,2021-12-15 10:51:19,2021-12-15 10:52:21,1m - 1.706s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-15 10:51:19,2021-12-15 10:51:31,11.921s,PASSED
"callTestCase(findTestCase(""Mobile/Page/News/News""), [""tab"":""fundnews""], CONTINUE_ON_FAILURE)",,,,2021-12-15 10:51:31,2021-12-15 10:52:11,39.320s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-15 10:52:11,2021-12-15 10:52:21,10.235s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/News/004 - Bond News,,,,2021-12-15 10:52:21,2021-12-15 10:53:21,1m - 0.389s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-15 10:52:21,2021-12-15 10:52:33,11.789s,PASSED
"callTestCase(findTestCase(""Mobile/Page/News/News""), [""tab"":""bondnews""], CONTINUE_ON_FAILURE)",,,,2021-12-15 10:52:33,2021-12-15 10:53:11,38.131s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-15 10:53:11,2021-12-15 10:53:21,10.235s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/News/005 - Macro News,,,,2021-12-15 10:53:21,2021-12-15 10:54:21,59.493s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-15 10:53:21,2021-12-15 10:53:33,11.801s,PASSED
"callTestCase(findTestCase(""Mobile/Page/News/News""), [""tab"":""macronews""], CONTINUE_ON_FAILURE)",,,,2021-12-15 10:53:33,2021-12-15 10:54:11,37.231s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-15 10:54:11,2021-12-15 10:54:21,10.240s,PASSED
